,City,Country,Lat,Lng,Hotel Name
0,atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
1,taoudenni,ML,22.68,-3.98,
2,tocopilla,CL,-22.09,-70.2,Hotel Royal Tocopilla
3,tiksi,RU,71.69,128.87,Arktika
4,busselton,AU,-33.65,115.33,Abbey Beach Resort
5,odweyne,SO,9.41,45.06,Al shukri hotel
6,cabo san lucas,BR,-8.28,-35.03,Hotel Intercity Suape Costa Dourada
7,leningradskiy,RU,69.38,178.42,
8,bonthe,SL,7.53,-12.51,Bonthe Holiday Village
9,faya,SA,18.39,42.45,
10,tuktoyaktuk,CA,69.45,-133.04,Smitty's Bed and Breakfast
11,avarua,CK,-21.21,-159.78,Pacific Resort Rarotonga
12,airai,TL,-8.93,125.41,
13,ushuaia,AR,-54.8,-68.3,Arakur Ushuaia Resort & Spa
14,puerto ayora,ES,36.59,-6.23,Pestana
15,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
16,muyuka,CM,4.29,9.41,
17,dikson,RU,73.51,80.55,
18,tuatapere,NZ,-46.13,167.68,Last Light Lodge
19,hithadhoo,MV,-0.6,73.08,Pebbles Inn
20,kaeo,NZ,-35.1,173.78,
21,sao joao da barra,IN,20.51,76.21,Hotel Krishna Residency
22,seoul,KR,37.57,126.98,K-POP HOTEL Seoul Tower
23,ribeira grande,ES,42.75,-8.44,
24,miri,MY,4.41,114.01,Miri Marriott Resort & Spa
25,kondinskoye,RU,59.65,67.41,
26,butaritari,KI,3.07,172.79,
27,nowy dwor mazowiecki,RU,54.75,20.62,Era Spa
28,huarmey,PE,-10.07,-78.15,Hotel Miramar
29,samarai,PG,-10.62,150.67,Nuli Sapi
30,tomatlan,MX,19.93,-105.25,Hotel Hacienda Vieja
31,talnakh,RU,69.49,88.4,Talnakh Hotel
32,faanui,PF,-16.48,-151.75,InterContinental Bora Bora Resort Thalasso Spa
33,namatanai,PG,-3.67,152.43,Namatanai Hotel
34,cape town,CL,-36.41,-71.9,Hostal Molino Viejo
35,belaya gora,UA,49.03,25.77,Приватний гуртожиток
36,hermanus,ZA,-34.42,19.23,One Marine Drive Boutique Hotel
37,cidreira,BR,-30.18,-50.21,Hotel Castelo
38,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
39,ust-tsilma,RU,65.44,52.15,Lukoil
40,derzhavinsk,KZ,51.1,66.32,"Gostinitsa ""Ishim"""
41,sokoni,TZ,-6.43,39.55,Clove Island Zanzibar Villas & Spa
42,kruisfontein,ZA,-34.0,24.73,
43,hobyo,SO,5.35,48.53,Osmani Hotel
44,klaksvik,FO,62.23,-6.59,Eysturland Lodge
45,breves,BR,-1.68,-50.48,Hotel Paraiso Bom Jesus Breves
46,port lincoln,CD,-7.03,29.76,
47,zunyi,CN,27.69,106.91,Days Hotel & Suites Ivy Zunyi
48,mataura,NZ,-46.19,168.86,Ellie's Villa
49,fortuna,US,40.6,-124.16,THE REDWOOD RIVERWALK HOTEL
50,keita,NE,14.76,5.77,
51,kaitangata,NZ,-46.28,169.85,
52,hofn,IS,64.25,-15.21,Hótel Höfn
53,bredasdorp,ZA,-34.53,20.04,De Hoop Collection
54,lodja,CD,-3.48,23.43,
55,salalah,OM,17.02,54.09,Salalah Gardens Hotel
56,punta arenas,PH,8.99,125.34,
57,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
58,orlik,RU,52.52,99.83,"Gostinitsa ""Aya-Ganga"""
59,souillac,MU,-20.52,57.52,SkylineInn Hotel
60,villamontes,BO,-21.25,-63.5,Hotel Ecológico Gota del Chaco
61,mantua,IT,45.17,10.78,Best Western Hotel Cristallo
62,flinders,AU,-34.58,150.86,Lakeview Hotel Motel
