,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,0,PF,1602110313,75,-9.8,-139.03,77.92,15.55
1,taoudenni,39,ML,1602110313,14,22.68,-3.98,92.61,17.36
2,tocopilla,20,CL,1602110313,62,-22.09,-70.2,64.24,10.49
3,tiksi,0,RU,1602110313,94,71.69,128.87,17.42,12.66
4,busselton,7,AU,1602110313,88,-33.65,115.33,50.0,5.95
5,odweyne,14,SO,1602110313,28,9.41,45.06,76.84,6.04
6,cabo san lucas,40,BR,1602110313,74,-8.28,-35.03,80.6,4.7
7,leningradskiy,100,RU,1602110313,98,69.38,178.42,32.0,11.07
8,bonthe,100,SL,1602110313,88,7.53,-12.51,77.4,4.12
9,faya,0,SA,1602110314,20,18.39,42.45,64.4,8.32
10,tuktoyaktuk,90,CA,1602110314,95,69.45,-133.04,32.0,2.24
11,avarua,38,CK,1602110314,61,-21.21,-159.78,78.8,19.46
12,airai,99,TL,1602110314,93,-8.93,125.41,65.73,2.21
13,ushuaia,75,AR,1602110314,60,-54.8,-68.3,42.8,11.41
14,puerto ayora,60,ES,1602110314,77,36.59,-6.23,71.01,5.82
15,jamestown,20,US,1602110314,62,42.1,-79.24,57.2,16.11
16,muyuka,80,CM,1602110314,85,4.29,9.41,72.86,0.98
17,dikson,100,RU,1602110314,96,73.51,80.55,36.75,25.99
18,tuatapere,86,NZ,1602110314,61,-46.13,167.68,48.0,5.01
19,hithadhoo,85,MV,1602110315,76,-0.6,73.08,82.74,9.95
20,kaeo,84,NZ,1602110315,65,-35.1,173.78,64.0,3.0
21,sao joao da barra,99,IN,1602110315,57,20.51,76.21,71.78,4.63
22,seoul,1,KR,1602110138,87,37.57,126.98,51.8,3.74
23,ribeira grande,20,ES,1602110315,100,42.75,-8.44,61.0,3.36
24,miri,40,MY,1602110315,94,4.41,114.01,73.4,3.36
25,kondinskoye,10,RU,1602110315,96,59.65,67.41,28.56,7.45
26,butaritari,100,KI,1602110315,79,3.07,172.79,81.88,10.49
27,nowy dwor mazowiecki,20,RU,1602110315,100,54.75,20.62,48.2,4.47
28,huarmey,23,PE,1602110316,76,-10.07,-78.15,65.68,8.63
29,samarai,99,PG,1602110316,80,-10.62,150.67,77.49,15.82
30,tomatlan,23,MX,1602110316,66,19.93,-105.25,84.78,4.7
31,talnakh,75,RU,1602110316,100,69.49,88.4,19.4,4.47
32,faanui,25,PF,1602110316,78,-16.48,-151.75,78.75,19.71
33,namatanai,94,PG,1602110316,68,-3.67,152.43,84.74,4.74
34,cape town,13,CL,1602110316,34,-36.41,-71.9,64.4,6.93
35,belaya gora,100,UA,1602110316,83,49.03,25.77,57.99,1.01
36,hermanus,38,ZA,1602110074,92,-34.42,19.23,57.99,6.64
37,cidreira,100,BR,1602110316,92,-30.18,-50.21,62.13,2.19
